"","iso_code","country","date","new_cases","total_cases","imputed","pop2022","region","sub_region"
"55","ABW","Aruba",2022-06-08,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"56","ABW","Aruba",2022-06-09,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"57","ABW","Aruba",2022-06-10,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"58","ABW","Aruba",2022-06-11,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"59","ABW","Aruba",2022-06-12,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"60","ABW","Aruba",2022-06-13,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"61","ABW","Aruba",2022-06-14,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"62","ABW","Aruba",2022-06-15,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"63","ABW","Aruba",2022-06-16,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"64","ABW","Aruba",2022-06-17,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"65","ABW","Aruba",2022-06-18,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"66","ABW","Aruba",2022-06-19,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"67","ABW","Aruba",2022-06-20,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"68","ABW","Aruba",2022-06-21,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"69","ABW","Aruba",2022-06-22,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"70","ABW","Aruba",2022-06-23,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"71","ABW","Aruba",2022-06-24,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"72","ABW","Aruba",2022-06-25,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"73","ABW","Aruba",2022-06-26,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"74","ABW","Aruba",2022-06-27,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"75","ABW","Aruba",2022-06-28,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"76","ABW","Aruba",2022-06-29,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"77","ABW","Aruba",2022-06-30,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"78","ABW","Aruba",2022-07-01,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"79","ABW","Aruba",2022-07-02,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"80","ABW","Aruba",2022-07-03,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"81","ABW","Aruba",2022-07-04,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"82","ABW","Aruba",2022-07-05,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"83","ABW","Aruba",2022-07-06,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"84","ABW","Aruba",2022-07-07,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"85","ABW","Aruba",2022-07-08,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"86","ABW","Aruba",2022-07-09,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"87","ABW","Aruba",2022-07-10,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"88","ABW","Aruba",2022-07-11,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"89","ABW","Aruba",2022-07-12,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"90","ABW","Aruba",2022-07-13,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"91","ABW","Aruba",2022-07-14,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"92","ABW","Aruba",2022-07-15,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"93","ABW","Aruba",2022-07-16,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"94","ABW","Aruba",2022-07-17,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"95","ABW","Aruba",2022-07-18,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"96","ABW","Aruba",2022-07-19,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"97","ABW","Aruba",2022-07-20,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"98","ABW","Aruba",2022-07-21,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"99","ABW","Aruba",2022-07-22,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"100","ABW","Aruba",2022-07-23,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"101","ABW","Aruba",2022-07-24,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"102","ABW","Aruba",2022-07-25,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"103","ABW","Aruba",2022-07-26,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"104","ABW","Aruba",2022-07-27,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"105","ABW","Aruba",2022-07-28,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"106","ABW","Aruba",2022-07-29,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"107","ABW","Aruba",2022-07-30,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"108","ABW","Aruba",2022-07-31,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"109","ABW","Aruba",2022-08-01,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"110","ABW","Aruba",2022-08-02,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"111","ABW","Aruba",2022-08-03,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"112","ABW","Aruba",2022-08-04,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"113","ABW","Aruba",2022-08-05,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"114","ABW","Aruba",2022-08-06,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"115","ABW","Aruba",2022-08-07,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"116","ABW","Aruba",2022-08-08,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"117","ABW","Aruba",2022-08-09,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"118","ABW","Aruba",2022-08-10,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"119","ABW","Aruba",2022-08-11,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"120","ABW","Aruba",2022-08-12,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"121","ABW","Aruba",2022-08-13,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"122","ABW","Aruba",2022-08-14,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"123","ABW","Aruba",2022-08-15,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"124","ABW","Aruba",2022-08-16,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"125","ABW","Aruba",2022-08-17,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"126","ABW","Aruba",2022-08-18,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"127","ABW","Aruba",2022-08-19,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"128","ABW","Aruba",2022-08-20,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"129","ABW","Aruba",2022-08-21,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"130","ABW","Aruba",2022-08-22,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"131","ABW","Aruba",2022-08-23,0,0,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"132","ABW","Aruba",2022-08-24,1,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"133","ABW","Aruba",2022-08-25,0,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"134","ABW","Aruba",2022-08-26,0,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"135","ABW","Aruba",2022-08-27,0,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"136","ABW","Aruba",2022-08-28,0,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"137","ABW","Aruba",2022-08-29,0,1,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"138","ABW","Aruba",2022-08-30,1,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"139","ABW","Aruba",2022-08-31,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"140","ABW","Aruba",2022-09-01,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"141","ABW","Aruba",2022-09-02,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"142","ABW","Aruba",2022-09-03,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"143","ABW","Aruba",2022-09-04,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"144","ABW","Aruba",2022-09-05,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"145","ABW","Aruba",2022-09-06,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"146","ABW","Aruba",2022-09-07,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
